,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Solidity*,Roundness
0,56276.0,888.242,326.1485,220.2388,-1.2160307495518674,0.8963
1,76631.0,1068.146,417.1932,234.2289,-1.187675258830059,0.844
2,71623.0,1082.987,435.8328,211.0457,-1.1042316260800424,0.7674
3,66458.0,992.051,381.5638,222.5322,-1.0943137048105562,0.8486
4,66107.0,998.146,383.8883,220.4545,-1.066027360694145,0.8338
5,73191.0,1041.46,405.8132,231.4261,-1.0212094978455333,0.848
6,73338.0,1020.055,392.2516,238.5494,-0.9492952380381607,0.8857
7,69692.0,1049.108,421.4875,211.7707,-0.9189868768763473,0.7957
8,95727.0,1231.609,488.1199,251.3086,-0.9076680623196263,0.793
9,73465.0,1047.767,413.6504,227.2644,-0.8641388657051843,0.8409
10,83429.0,1114.561,438.5827,242.8826,-0.8369808757804219,0.844
11,85461.0,1136.125,446.2935,245.1551,-0.7775574639741862,0.832
12,71393.0,1096.533,459.2091,199.1305,-0.7550752970033243,0.7461
13,80151.0,1088.349,420.8842,244.2649,-0.7497599607371066,0.8503
14,68078.0,1016.821,403.0626,215.6027,-0.7055168899603355,0.8274
15,57934.0,933.357,368.7807,201.2084,-0.6277418024692968,0.8357
16,61138.0,953.256,371.2713,211.3706,-0.6037142493234786,0.8455
17,61519.0,964.694,382.1808,205.6436,-0.5780926497505268,0.8307
18,76073.0,1064.233,430.7576,225.3286,-0.5731039559779674,0.844
19,56882.0,926.303,368.015,197.4554,-0.5661329411772594,0.8331
20,69350.0,1037.403,418.2706,211.9446,-0.5369624215498393,0.8098
21,82196.0,1141.067,466.2324,225.8543,-0.5288388966326482,0.7933
22,62165.0,936.716,356.8281,222.3935,-0.5263920778856699,0.8903
23,85913.0,1120.778,435.7355,251.4643,-0.4059867485941434,0.8595
24,68683.0,1021.57,409.83,214.3968,-0.39458640204137885,0.827
25,61215.0,951.511,369.4055,212.7202,-0.3939945476128146,0.8497
26,72713.0,1039.375,401.8137,231.1989,-0.3595147180648497,0.8458
27,58684.0,917.482,355.8436,210.4503,-0.35332396358809365,0.8761
28,59652.0,932.197,359.1674,213.7165,-0.346299444041417,0.8626
29,89091.0,1138.972,443.718,256.1033,-0.3010299956639812,0.863
